tudou.com,123.126.98.151
sohu.com,123.125.116.19
amazon.com,176.32.98.166
yahoo.co.jp,182.22.59.229
hao123.com,123.125.115.150
wordpress.com,192.0.78.17
apple.com,17.142.160.59
pps.tv,58.83.190.154
ebay.com,66.211.160.87
windows.com,104.43.142.34
hotmail.com,157.55.152.112
ifeng.com,210.51.19.61
paipai.com,163.177.83.173
facebook.com,31.13.70.1
bbc.co.uk,212.58.244.20
goo.ne.jp,153.254.147.65
youtube.com,173.194.115.78
56.com,180.153.21.176
fc2.com,50.18.211.49
alipay.com,110.76.20.33
yahoo.com,98.139.183.24
360.cn,106.120.167.66
paypal.com,66.211.169.66
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,180.149.132.47
yandex.ru,5.255.255.55
microsoft.com,134.170.185.46
qq.com,163.177.65.160
softonic.com,46.28.209.20
blogspot.com,216.58.218.169
bing.com,204.79.197.200
taobao.com,110.75.115.70
myspace.com,63.135.90.70
xunlei.com,125.39.150.14
nifty.com,222.158.213.148
craigslist.org,208.82.238.129
soso.com,106.120.151.169
imageshack.us,208.94.0.44
163.com,123.58.180.8
weather.com,96.8.85.132
soku.com,43.250.12.57
ask.com,66.235.120.127
cnn.com,157.166.226.25
alibaba.com,205.204.101.42
tianya.cn,124.225.65.154
mail.ru,94.100.180.200
twitter.com,199.59.149.230
adobe.com,192.150.16.117
cnet.com,64.30.224.118
renren.com,220.181.181.224
sogou.com,180.149.156.69
sina.com.cn,202.108.33.60
ku6.com,122.11.45.243
tmall.com,110.75.114.89
mozilla.com,63.245.217.194
youku.com,123.126.99.31
mywebsearch.com,74.113.233.48
go.com,199.181.131.249
rakuten.co.jp,133.237.48.124
andysayler.com,162.243.49.20
4399.com,118.184.184.70
orkut.com,173.194.64.85
about.com,207.241.148.80
blogger.com,216.58.218.169
livedoor.jp,125.6.149.67
vkontakte.ru,95.213.4.243
answers.com,67.196.156.65
skype.com,91.190.216.21
sdjjdsaf.com,
ameblo.jp,180.233.142.129
wmfo.org,23.92.21.128
rapidshare.com,10.11.12.13
megaupload.com,
orkut.com.br,173.194.64.87
zynga.com,54.200.204.21
daum.net,114.108.157.50
partypoker.com,194.150.36.34
hp.com,15.201.225.10
ebay.de,66.211.181.235
walmart.com,161.170.244.20
kugou.com,14.18.236.182
youdao.com,61.135.218.26
naver.com,125.209.222.142
flickr.com,69.147.76.173
4shared.com,208.88.224.138
amazon.co.jp,54.240.248.0
linkedin.com,108.174.2.129
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.155.58
hotfile.com,
jp.msn.com,137.117.100.176
qiyi.com,101.227.22.157
dailymotion.com,195.8.215.139
2345.com,42.62.30.180
photobucket.com,209.17.68.100
imdb.com,72.21.210.29
aol.com,149.174.107.97
seesaa.net,59.106.98.139
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
7k7k.com,115.182.59.33
